t (s)	U1(V)	U2(V)
0,000000	0,564351	0,096550
0,010000	0,543318	0,075516
0,020000	0,517027	0,049223
0,030000	0,490736	0,028189
0,040000	0,464445	0,007154
0,050000	0,438155	-0,019138
0,060000	0,411864	-0,045431
0,070000	0,385573	-0,066465
0,080000	0,359282	-0,092758
0,090000	0,327733	-0,113792
0,100000	0,301442	-0,134827
0,110000	0,275152	-0,161120
0,120000	0,243603	-0,187412
0,130000	0,217312	-0,213705
0,140000	0,185763	-0,239998
0,150000	0,154214	-0,261032
0,160000	0,127923	-0,287325
0,170000	0,101632	-0,308359
0,180000	0,070083	-0,334652
0,190000	0,043793	-0,355686
0,200000	0,017502	-0,381979
0,210000	-0,019305	-0,403013
0,220000	-0,045596	-0,424048
0,230000	-0,077145	-0,445082
0,240000	-0,098178	-0,471375
0,250000	-0,124469	-0,492409
0,260000	-0,150759	-0,513443
0,270000	-0,177050	-0,534477
0,280000	-0,203341	-0,555512
0,290000	-0,224374	-0,576546
0,300000	-0,250664	-0,597580
0,310000	-0,276955	-0,613356
0,320000	-0,297988	-0,639649
0,330000	-0,324279	-0,660683
0,340000	-0,345311	-0,676459
0,350000	-0,366344	-0,697493
0,360000	-0,387377	-0,718527
0,370000	-0,408409	-0,734303
0,380000	-0,429442	-0,750079
0,390000	-0,450475	-0,765854
0,400000	-0,471507	-0,781630
0,410000	-0,487282	-0,792147
0,420000	-0,503056	-0,807923
0,430000	-0,518831	-0,818440
0,440000	-0,534605	-0,834216
0,450000	-0,545122	-0,844733
0,460000	-0,560896	-0,855250
0,470000	-0,571412	-0,865767
0,480000	-0,587187	-0,876284
0,490000	-0,597703	-0,886801
0,500000	-0,608219	-0,892060
0,510000	-0,618736	-0,897318
0,520000	-0,623994	-0,902577
0,530000	-0,634510	-0,907835
0,540000	-0,645027	-0,918353
0,550000	-0,645027	-0,918353
0,560000	-0,650285	-0,923611
0,570000	-0,655543	-0,923611
0,580000	-0,660801	-0,928870
0,590000	-0,660801	-0,928870
0,600000	-0,660801	-0,928870
0,610000	-0,660801	-0,934128
0,620000	-0,660801	-0,934128
0,630000	-0,655543	-0,928870
0,640000	-0,655543	-0,923611
0,650000	-0,650285	-0,923611
0,660000	-0,645027	-0,913094
0,670000	-0,639768	-0,907835
0,680000	-0,634510	-0,907835
0,690000	-0,623994	-0,897318
0,700000	-0,618736	-0,886801
0,710000	-0,608219	-0,881543
0,720000	-0,597703	-0,871025
0,730000	-0,587187	-0,860508
0,740000	-0,571412	-0,849991
0,750000	-0,560896	-0,834216
0,760000	-0,545122	-0,823698
0,770000	-0,529347	-0,813181
0,780000	-0,518831	-0,797406
0,790000	-0,497798	-0,781630
0,800000	-0,482024	-0,765854
0,810000	-0,466249	-0,750079
0,820000	-0,445216	-0,734303
0,830000	-0,424184	-0,718527
0,840000	-0,403151	-0,697493
0,850000	-0,387377	-0,681717
0,860000	-0,366344	-0,660683
0,870000	-0,340053	-0,644907
0,880000	-0,319021	-0,623873
0,890000	-0,292730	-0,602839
0,900000	-0,271697	-0,581805
0,910000	-0,245406	-0,560770
0,920000	-0,219116	-0,539736
0,930000	-0,192825	-0,518702
0,940000	-0,166534	-0,492409
0,950000	-0,145501	-0,471375
0,960000	-0,119210	-0,450340
0,970000	-0,087661	-0,424048
0,980000	-0,066629	-0,403013
0,990000	-0,035080	-0,376721
1,000000	-0,008789	-0,355686
1,010000	0,022760	-0,334652
1,020000	0,049051	-0,308359
1,030000	0,080600	-0,287325
1,040000	0,106890	-0,261032
1,050000	0,133181	-0,245257
1,060000	0,164730	-0,218964
1,070000	0,191021	-0,192671
1,080000	0,222570	-0,166378
1,090000	0,248861	-0,145344
1,100000	0,280410	-0,119051
1,110000	0,306701	-0,098017
1,120000	0,332991	-0,076983
1,130000	0,359282	-0,050690
1,140000	0,385573	-0,024397
1,150000	0,417122	-0,003363
1,160000	0,443413	0,028189
1,170000	0,469704	0,043964
1,180000	0,495994	0,070257
1,190000	0,522285	0,091291
1,200000	0,548576	0,117584
1,210000	0,574867	0,138619
1,220000	0,595900	0,159653
1,230000	0,622190	0,180687
1,240000	0,643223	0,196463
1,250000	0,669514	0,217497
1,260000	0,690546	0,238531
1,270000	0,711579	0,254307
1,280000	0,732612	0,275341
1,290000	0,753644	0,285858
1,300000	0,774677	0,306893
1,310000	0,790451	0,317410
1,320000	0,811484	0,333185
1,330000	0,827259	0,348961
1,340000	0,843033	0,364737
1,350000	0,858808	0,380512
1,360000	0,869324	0,391030
1,370000	0,885098	0,401547
1,380000	0,900873	0,406805
1,390000	0,911389	0,422581
1,400000	0,921906	0,427839
1,410000	0,932422	0,433098
1,420000	0,942938	0,438357
1,430000	0,948196	0,443615
1,440000	0,953455	0,454132
1,450000	0,963971	0,459391
1,460000	0,969229	0,459391
1,470000	0,969229	0,464649
1,480000	0,974487	0,464649
1,490000	0,979745	0,464649
1,500000	0,979745	0,469908
1,510000	0,985003	0,469908
1,520000	0,985003	0,464649
1,530000	0,979745	0,464649
1,540000	0,979745	0,464649
1,550000	0,974487	0,459391
1,560000	0,969229	0,459391
1,570000	0,963971	0,448874
1,580000	0,958713	0,443615
1,590000	0,953455	0,438357
1,600000	0,942938	0,433098
1,610000	0,937680	0,422581
1,620000	0,927164	0,417322
1,630000	0,916647	0,406805
1,640000	0,900873	0,396288
