t (s)	U1(V)	U2(V)
0,000000	-0,182308	0,001896
0,010000	-0,208599	0,001896
0,020000	-0,229632	0,007154
0,030000	-0,250664	0,007154
0,040000	-0,271697	0,007154
0,050000	-0,292730	0,012413
0,060000	-0,313762	0,012413
0,070000	-0,334795	0,017672
0,080000	-0,355828	0,017672
0,090000	-0,376860	0,017672
0,100000	-0,392635	0,017672
0,110000	-0,408409	0,017672
0,120000	-0,429442	0,017672
0,130000	-0,445216	0,012413
0,140000	-0,460991	0,012413
0,150000	-0,476765	0,012413
0,160000	-0,487282	0,007154
0,170000	-0,497798	0,007154
0,180000	-0,513573	0,007154
0,190000	-0,524089	0,001896
0,200000	-0,534605	0,001896
0,210000	-0,539863	-0,008621
0,220000	-0,550380	-0,008621
0,230000	-0,560896	-0,019138
0,240000	-0,566154	-0,024397
0,250000	-0,566154	-0,024397
0,260000	-0,576671	-0,034914
0,270000	-0,576671	-0,040173
0,280000	-0,587187	-0,045431
0,290000	-0,587187	-0,050690
0,300000	-0,587187	-0,061207
0,310000	-0,587187	-0,066465
0,320000	-0,587187	-0,066465
0,330000	-0,587187	-0,076983
0,340000	-0,581929	-0,082241
0,350000	-0,581929	-0,082241
0,360000	-0,571412	-0,092758
0,370000	-0,571412	-0,103275
0,380000	-0,560896	-0,108534
0,390000	-0,555638	-0,113792
0,400000	-0,550380	-0,124310
0,410000	-0,539863	-0,129568
0,420000	-0,529347	-0,140085
0,430000	-0,518831	-0,145344
0,440000	-0,508314	-0,150602
0,450000	-0,497798	-0,161120
0,460000	-0,482024	-0,171637
0,470000	-0,471507	-0,182154
0,480000	-0,455733	-0,187412
0,490000	-0,439958	-0,192671
0,500000	-0,429442	-0,208447
0,510000	-0,413668	-0,213705
0,520000	-0,397893	-0,224222
0,530000	-0,376860	-0,234739
0,540000	-0,355828	-0,239998
0,550000	-0,340053	-0,250515
0,560000	-0,319021	-0,261032
0,570000	-0,297988	-0,271549
0,580000	-0,276955	-0,282066
0,590000	-0,255923	-0,287325
0,600000	-0,234890	-0,297842
0,610000	-0,213857	-0,303101
0,620000	-0,187567	-0,313618
0,630000	-0,161276	-0,318876
0,640000	-0,145501	-0,334652
0,650000	-0,113952	-0,339911
0,660000	-0,087661	-0,350428
0,670000	-0,066629	-0,360945
0,680000	-0,045596	-0,366203
0,690000	-0,019305	-0,371462
0,700000	0,012244	-0,381979
0,710000	0,038534	-0,387238
0,720000	0,064825	-0,392496
0,730000	0,091116	-0,397755
0,740000	0,117407	-0,403013
0,750000	0,143698	-0,408272
0,760000	0,169988	-0,413531
0,770000	0,196279	-0,418789
0,780000	0,222570	-0,424048
0,790000	0,243603	-0,429306
0,800000	0,275152	-0,434565
0,810000	0,301442	-0,439823
0,820000	0,327733	-0,445082
0,830000	0,354024	-0,445082
0,840000	0,375057	-0,450340
0,850000	0,401348	-0,450340
0,860000	0,427638	-0,455599
0,870000	0,453929	-0,455599
0,880000	0,474962	-0,466116
0,890000	0,495994	-0,466116
0,900000	0,522285	-0,471375
0,910000	0,543318	-0,476633
0,920000	0,569609	-0,476633
0,930000	0,590641	-0,476633
0,940000	0,611674	-0,476633
0,950000	0,632707	-0,476633
0,960000	0,653739	-0,476633
0,970000	0,674772	-0,481892
0,980000	0,690546	-0,476633
0,990000	0,711579	-0,481892
1,000000	0,727354	-0,476633
1,010000	0,748386	-0,471375
1,020000	0,764161	-0,471375
1,030000	0,779935	-0,466116
1,040000	0,790451	-0,466116
1,050000	0,806226	-0,460858
1,060000	0,816742	-0,455599
1,070000	0,832517	-0,455599
1,080000	0,843033	-0,450340
1,090000	0,848291	-0,445082
1,100000	0,858808	-0,439823
1,110000	0,869324	-0,434565
1,120000	0,879840	-0,434565
1,130000	0,885098	-0,424048
1,140000	0,890357	-0,418789
1,150000	0,895615	-0,413531
1,160000	0,900873	-0,403013
1,170000	0,906131	-0,397755
1,180000	0,906131	-0,387238
1,190000	0,911389	-0,381979
1,200000	0,906131	-0,376721
1,210000	0,911389	-0,371462
1,220000	0,911389	-0,360945
1,230000	0,906131	-0,355686
1,240000	0,900873	-0,345169
1,250000	0,900873	-0,339911
1,260000	0,890357	-0,329394
1,270000	0,890357	-0,318876
1,280000	0,879840	-0,308359
1,290000	0,874582	-0,297842
1,300000	0,864066	-0,292584
1,310000	0,853549	-0,282066
1,320000	0,843033	-0,271549
1,330000	0,827259	-0,261032
1,340000	0,816742	-0,255774
1,350000	0,800968	-0,245257
1,360000	0,790451	-0,229481
1,370000	0,774677	-0,218964
1,380000	0,758903	-0,213705
1,390000	0,743128	-0,203188
1,400000	0,727354	-0,192671
1,410000	0,711579	-0,187412
1,420000	0,690546	-0,176895
1,430000	0,669514	-0,166378
1,440000	0,653739	-0,155861
1,450000	0,632707	-0,145344
1,460000	0,606416	-0,134827
1,470000	0,585383	-0,124310
1,480000	0,564351	-0,113792
1,490000	0,543318	-0,103275
1,500000	0,517027	-0,098017
1,510000	0,495994	-0,087500
1,520000	0,474962	-0,076983
1,530000	0,448671	-0,066465
1,540000	0,427638	-0,061207
1,550000	0,401348	-0,050690
1,560000	0,380315	-0,045431
1,570000	0,348766	-0,040173
1,580000	0,327733	-0,029655
1,590000	0,306701	-0,019138
1,600000	0,275152	-0,013880
1,610000	0,248861	-0,008621
1,620000	0,227828	0,001896
1,630000	0,201537	0,012413
1,640000	0,175247	0,017672
1,650000	0,148956	0,022930
1,660000	0,122665	0,033447
1,670000	0,096374	0,043964
1,680000	0,070083	0,043964
1,690000	0,043793	0,054482
1,700000	0,022760	0,059740
1,710000	-0,008789	0,064999
1,720000	-0,035080	0,064999
1,730000	-0,056113	0,070257
1,740000	-0,082403	0,075516
1,750000	-0,103436	0,080774
1,760000	-0,124469	0,086033
1,770000	-0,145501	0,086033
1,780000	-0,171792	0,080774
1,790000	-0,198083	0,086033
1,800000	-0,219116	0,086033
1,810000	-0,240148	0,086033
1,820000	-0,255923	0,086033
1,830000	-0,276955	0,086033
1,840000	-0,297988	0,086033
1,850000	-0,319021	0,086033
1,860000	-0,340053	0,086033
1,870000	-0,355828	0,080774
1,880000	-0,376860	0,080774
1,890000	-0,392635	0,075516
1,900000	-0,408409	0,075516
1,910000	-0,424184	0,070257
1,920000	-0,439958	0,064999
1,930000	-0,455733	0,059740
1,940000	-0,471507	0,054482
1,950000	-0,482024	0,054482
1,960000	-0,492540	0,043964
1,970000	-0,503056	0,038706
1,980000	-0,513573	0,033447
1,990000	-0,518831	0,022930
2,000000	-0,529347	0,017672
2,010000	-0,534605	0,012413
2,020000	-0,545122	0,001896
2,030000	-0,550380	-0,003363
2,040000	-0,555638	-0,013880
2,050000	-0,555638	-0,024397
2,060000	-0,560896	-0,029655
2,070000	-0,560896	-0,040173
2,080000	-0,560896	-0,050690
2,090000	-0,566154	-0,055948
2,100000	-0,566154	-0,071724
2,110000	-0,560896	-0,082241
2,120000	-0,555638	-0,092758
2,130000	-0,555638	-0,103275
2,140000	-0,550380	-0,108534
2,150000	-0,545122	-0,119051
2,160000	-0,539863	-0,129568
2,170000	-0,534605	-0,140085
2,180000	-0,529347	-0,150602
2,190000	-0,518831	-0,161120
2,200000	-0,508314	-0,171637
2,210000	-0,497798	-0,182154
2,220000	-0,487282	-0,192671
2,230000	-0,476765	-0,203188
2,240000	-0,466249	-0,213705
2,250000	-0,450475	-0,224222
2,260000	-0,434700	-0,234739
2,270000	-0,424184	-0,245257
2,280000	-0,408409	-0,261032
2,290000	-0,387377	-0,271549
2,300000	-0,376860	-0,282066
2,310000	-0,355828	-0,292584
2,320000	-0,340053	-0,303101
2,330000	-0,319021	-0,318876
2,340000	-0,303246	-0,324135
2,350000	-0,282213	-0,334652
2,360000	-0,266439	-0,345169
2,370000	-0,240148	-0,355686
2,380000	-0,224374	-0,366203
2,390000	-0,203341	-0,376721
2,400000	-0,177050	-0,387238
2,410000	-0,156018	-0,397755
2,420000	-0,129727	-0,408272
2,430000	-0,103436	-0,408272
2,440000	-0,082403	-0,418789
2,450000	-0,056113	-0,429306
2,460000	-0,035080	-0,439823
2,470000	-0,008789	-0,450340
2,480000	0,022760	-0,450340
2,490000	0,043793	-0,460858
2,500000	0,070083	-0,466116
2,510000	0,096374	-0,476633
2,520000	0,122665	-0,481892
2,530000	0,148956	-0,487150
2,540000	0,175247	-0,492409
2,550000	0,196279	-0,497668
2,560000	0,222570	-0,508185
2,570000	0,254119	-0,508185
2,580000	0,275152	-0,513443
2,590000	0,301442	-0,523960
2,600000	0,322475	-0,523960
2,610000	0,348766	-0,534477
2,620000	0,375057	-0,534477
2,630000	0,396089	-0,539736
2,640000	0,422380	-0,539736
