t (s)	U1(V)	U2(V)
1,710000	-0,345311	-0,350428
1,720000	-0,319021	-0,360945
1,730000	-0,303246	-0,376721
1,740000	-0,282213	-0,381979
1,750000	-0,261181	-0,392496
1,760000	-0,240148	-0,403013
1,770000	-0,213857	-0,418789
1,780000	-0,192825	-0,429306
1,790000	-0,166534	-0,439823
1,800000	-0,140243	-0,450340
1,810000	-0,119210	-0,460858
1,820000	-0,092920	-0,476633
1,830000	-0,066629	-0,487150
1,840000	-0,045596	-0,492409
1,850000	-0,014047	-0,508185
1,860000	0,017502	-0,513443
1,870000	0,038534	-0,523960
1,880000	0,070083	-0,529219
1,890000	0,096374	-0,539736
1,900000	0,122665	-0,544995
1,910000	0,148956	-0,560770
1,920000	0,175247	-0,560770
1,930000	0,201537	-0,571287
1,940000	0,227828	-0,581805
1,950000	0,254119	-0,587063
1,960000	0,280410	-0,597580
1,970000	0,306701	-0,602839
1,980000	0,332991	-0,602839
1,990000	0,359282	-0,613356
2,000000	0,385573	-0,618614
2,010000	0,411864	-0,618614
2,020000	0,438155	-0,623873
2,030000	0,464445	-0,623873
2,040000	0,490736	-0,629132
2,050000	0,517027	-0,629132
2,060000	0,538060	-0,634390
2,070000	0,559092	-0,634390
2,080000	0,585383	-0,634390
2,090000	0,606416	-0,639649
2,100000	0,627448	-0,639649
2,110000	0,648481	-0,639649
2,120000	0,669514	-0,639649
2,130000	0,690546	-0,639649
2,140000	0,711579	-0,634390
2,150000	0,732612	-0,634390
2,160000	0,748386	-0,629132
2,170000	0,769419	-0,629132
2,180000	0,785193	-0,623873
2,190000	0,800968	-0,618614
2,200000	0,816742	-0,618614
2,210000	0,832517	-0,608097
2,220000	0,843033	-0,602839
2,230000	0,858808	-0,597580
2,240000	0,869324	-0,592322
2,250000	0,879840	-0,587063
2,260000	0,890357	-0,576546
2,270000	0,900873	-0,571287
2,280000	0,906131	-0,566029
2,290000	0,916647	-0,555512
2,300000	0,921906	-0,544995
2,310000	0,927164	-0,534477
2,320000	0,932422	-0,523960
2,330000	0,937680	-0,513443
2,340000	0,937680	-0,502926
2,350000	0,942938	-0,497668
