t (s)	U1(V)	U2(V)
0,000000	0,164730	-0,292584
0,010000	0,185763	-0,313618
0,020000	0,201537	-0,334652
0,030000	0,222570	-0,350428
0,040000	0,243603	-0,366203
0,050000	0,259377	-0,376721
0,060000	0,275152	-0,397755
0,070000	0,301442	-0,413531
0,080000	0,317217	-0,429306
0,090000	0,338250	-0,450340
0,100000	0,359282	-0,466116
0,110000	0,375057	-0,476633
0,120000	0,390831	-0,497668
0,130000	0,411864	-0,513443
0,140000	0,432897	-0,529219
0,150000	0,453929	-0,544995
0,160000	0,464445	-0,560770
0,170000	0,485478	-0,576546
0,180000	0,506511	-0,592322
0,190000	0,522285	-0,608097
0,200000	0,538060	-0,623873
0,210000	0,553834	-0,639649
0,220000	0,569609	-0,655424
0,230000	0,580125	-0,671200
0,240000	0,595900	-0,681717
0,250000	0,611674	-0,697493
0,260000	0,622190	-0,708010
0,270000	0,632707	-0,718527
0,280000	0,643223	-0,729044
0,290000	0,653739	-0,734303
0,300000	0,669514	-0,744820
0,310000	0,680030	-0,755337
0,320000	0,685288	-0,771113
0,330000	0,695805	-0,776371
0,340000	0,701063	-0,786888
0,350000	0,711579	-0,786888
0,360000	0,716837	-0,792147
0,370000	0,716837	-0,792147
0,380000	0,727354	-0,797406
0,390000	0,732612	-0,802664
0,400000	0,732612	-0,802664
0,410000	0,732612	-0,802664
0,420000	0,737870	-0,802664
0,430000	0,737870	-0,807923
0,440000	0,732612	-0,807923
0,450000	0,732612	-0,807923
0,460000	0,732612	-0,802664
0,470000	0,732612	-0,802664
0,480000	0,727354	-0,797406
0,490000	0,722095	-0,792147
0,500000	0,711579	-0,792147
0,510000	0,706321	-0,786888
0,520000	0,706321	-0,781630
0,530000	0,695805	-0,771113
0,540000	0,690546	-0,771113
0,550000	0,680030	-0,760596
0,560000	0,669514	-0,755337
0,570000	0,658997	-0,744820
0,580000	0,648481	-0,734303
0,590000	0,637965	-0,729044
0,600000	0,622190	-0,718527
0,610000	0,611674	-0,708010
0,620000	0,595900	-0,692234
0,630000	0,585383	-0,681717
0,640000	0,569609	-0,665942
0,650000	0,553834	-0,650166
0,660000	0,538060	-0,639649
0,670000	0,522285	-0,623873
0,680000	0,506511	-0,608097
0,690000	0,485478	-0,592322
0,700000	0,469704	-0,576546
0,710000	0,453929	-0,560770
0,720000	0,438155	-0,539736
0,730000	0,417122	-0,523960
0,740000	0,401348	-0,508185
0,750000	0,380315	-0,492409
0,760000	0,359282	-0,476633
0,770000	0,338250	-0,455599
0,780000	0,322475	-0,439823
0,790000	0,301442	-0,418789
0,800000	0,280410	-0,403013
0,810000	0,264635	-0,387238
0,820000	0,243603	-0,371462
0,830000	0,227828	-0,355686
0,840000	0,206796	-0,334652
0,850000	0,191021	-0,318876
0,860000	0,169988	-0,303101
0,870000	0,154214	-0,292584
0,880000	0,133181	-0,271549
0,890000	0,117407	-0,255774
0,900000	0,101632	-0,245257
0,910000	0,080600	-0,229481
0,920000	0,064825	-0,213705
0,930000	0,043793	-0,197929
0,940000	0,033276	-0,187412
0,950000	0,017502	-0,166378
0,960000	0,001727	-0,161120
0,970000	-0,014047	-0,145344
0,980000	-0,029822	-0,129568
0,990000	-0,045596	-0,113792
1,000000	-0,056113	-0,103275
1,010000	-0,066629	-0,092758
1,020000	-0,082403	-0,082241
1,030000	-0,092920	-0,071724
1,040000	-0,103436	-0,061207
1,050000	-0,113952	-0,050690
1,060000	-0,124469	-0,045431
1,070000	-0,129727	-0,040173
1,080000	-0,134985	-0,034914
1,090000	-0,145501	-0,029655
1,100000	-0,150759	-0,024397
1,110000	-0,156018	-0,019138
1,120000	-0,161276	-0,019138
1,130000	-0,166534	-0,019138
1,140000	-0,166534	-0,019138
1,150000	-0,166534	-0,019138
1,160000	-0,171792	-0,013880
1,170000	-0,171792	-0,013880
1,180000	-0,171792	-0,013880
1,190000	-0,171792	-0,013880
1,200000	-0,171792	-0,019138
1,210000	-0,166534	-0,019138
1,220000	-0,166534	-0,019138
1,230000	-0,161276	-0,024397
1,240000	-0,156018	-0,034914
1,250000	-0,150759	-0,040173
1,260000	-0,145501	-0,045431
1,270000	-0,134985	-0,055948
1,280000	-0,129727	-0,066465
1,290000	-0,119210	-0,071724
1,300000	-0,113952	-0,082241
1,310000	-0,103436	-0,092758
1,320000	-0,092920	-0,103275
1,330000	-0,082403	-0,113792
1,340000	-0,071887	-0,129568
1,350000	-0,056113	-0,140085
1,360000	-0,040338	-0,150602
1,370000	-0,029822	-0,166378
1,380000	-0,014047	-0,182154
1,390000	0,006985	-0,197929
1,400000	0,022760	-0,213705
1,410000	0,033276	-0,229481
1,420000	0,054309	-0,239998
1,430000	0,070083	-0,255774
1,440000	0,085858	-0,271549
