t (s)	U1(V)	U2(V)
0,000000	-0,092920	-0,403013
0,010000	-0,113952	-0,418789
0,020000	-0,134985	-0,439823
0,030000	-0,150759	-0,455599
0,040000	-0,177050	-0,471375
0,050000	-0,192825	-0,487150
0,060000	-0,213857	-0,497668
0,070000	-0,229632	-0,518702
0,080000	-0,250664	-0,529219
0,090000	-0,266439	-0,544995
0,100000	-0,287472	-0,560770
0,110000	-0,303246	-0,576546
0,120000	-0,319021	-0,587063
0,130000	-0,334795	-0,602839
0,140000	-0,355828	-0,613356
0,150000	-0,366344	-0,623873
0,160000	-0,387377	-0,639649
0,170000	-0,397893	-0,650166
0,180000	-0,413668	-0,660683
0,190000	-0,424184	-0,671200
0,200000	-0,439958	-0,681717
0,210000	-0,450475	-0,692234
0,220000	-0,460991	-0,692234
0,230000	-0,466249	-0,708010
0,240000	-0,482024	-0,708010
0,250000	-0,487282	-0,713269
0,260000	-0,492540	-0,723786
0,270000	-0,503056	-0,729044
0,280000	-0,513573	-0,723786
0,290000	-0,513573	-0,729044
0,300000	-0,518831	-0,734303
0,310000	-0,524089	-0,729044
0,320000	-0,529347	-0,729044
0,330000	-0,529347	-0,729044
0,340000	-0,529347	-0,729044
0,350000	-0,529347	-0,723786
0,360000	-0,529347	-0,723786
0,370000	-0,529347	-0,723786
0,380000	-0,529347	-0,718527
0,390000	-0,524089	-0,718527
0,400000	-0,524089	-0,713269
0,410000	-0,518831	-0,708010
0,420000	-0,513573	-0,702751
0,430000	-0,513573	-0,697493
0,440000	-0,508314	-0,686976
0,450000	-0,497798	-0,681717
0,460000	-0,492540	-0,671200
0,470000	-0,482024	-0,660683
0,480000	-0,476765	-0,650166
0,490000	-0,466249	-0,644907
0,500000	-0,455733	-0,639649
0,510000	-0,445216	-0,623873
0,520000	-0,429442	-0,613356
0,530000	-0,418926	-0,602839
0,540000	-0,408409	-0,592322
0,550000	-0,397893	-0,576546
0,560000	-0,376860	-0,560770
0,570000	-0,361086	-0,550253
0,580000	-0,345311	-0,534477
0,590000	-0,329537	-0,518702
0,600000	-0,313762	-0,502926
0,610000	-0,297988	-0,492409
0,620000	-0,276955	-0,471375
0,630000	-0,261181	-0,460858
0,640000	-0,245406	-0,445082
0,650000	-0,224374	-0,424048
0,660000	-0,203341	-0,408272
0,670000	-0,187567	-0,387238
0,680000	-0,166534	-0,371462
0,690000	-0,145501	-0,355686
0,700000	-0,124469	-0,339911
0,710000	-0,103436	-0,318876
0,720000	-0,082403	-0,303101
0,730000	-0,061371	-0,287325
0,740000	-0,040338	-0,266291
0,750000	-0,014047	-0,245257
0,760000	0,006985	-0,224222
0,770000	0,028018	-0,203188
0,780000	0,054309	-0,182154
0,790000	0,075342	-0,161120
0,800000	0,096374	-0,140085
0,810000	0,122665	-0,124310
0,820000	0,143698	-0,103275
0,830000	0,164730	-0,082241
0,840000	0,191021	-0,066465
0,850000	0,212054	-0,045431
0,860000	0,233086	-0,029655
0,870000	0,254119	-0,013880
0,880000	0,275152	0,007154
0,890000	0,301442	0,033447
0,900000	0,322475	0,049223
0,910000	0,343508	0,070257
0,920000	0,364540	0,086033
0,930000	0,390831	0,101809
0,940000	0,406606	0,117584
0,950000	0,427638	0,138619
0,960000	0,448671	0,154394
0,970000	0,469704	0,170170
0,980000	0,485478	0,185946
0,990000	0,506511	0,201721
1,000000	0,522285	0,217497
1,010000	0,543318	0,228014
1,020000	0,559092	0,243790
1,030000	0,580125	0,259565
1,040000	0,595900	0,270083
1,050000	0,611674	0,280600
1,060000	0,627448	0,291117
1,070000	0,643223	0,301634
1,080000	0,658997	0,312151
1,090000	0,674772	0,322668
1,100000	0,685288	0,333185
1,110000	0,695805	0,338444
1,120000	0,706321	0,343702
1,130000	0,711579	0,359478
1,140000	0,732612	0,359478
1,150000	0,737870	0,364737
1,160000	0,743128	0,369995
1,170000	0,753644	0,375254
1,180000	0,758903	0,380512
1,190000	0,769419	0,380512
1,200000	0,774677	0,380512
1,210000	0,774677	0,385771
1,220000	0,785193	0,385771
1,230000	0,785193	0,380512
1,240000	0,785193	0,385771
1,250000	0,790451	0,385771
1,260000	0,790451	0,385771
1,270000	0,790451	0,385771
1,280000	0,790451	0,380512
1,290000	0,785193	0,380512
1,300000	0,779935	0,375254
1,310000	0,779935	0,375254
1,320000	0,774677	0,369995
1,330000	0,769419	0,369995
1,340000	0,764161	0,359478
1,350000	0,758903	0,348961
1,360000	0,753644	0,343702
1,370000	0,743128	0,333185
1,380000	0,732612	0,327927
1,390000	0,727354	0,317410
1,400000	0,716837	0,306893
1,410000	0,706321	0,296375
1,420000	0,695805	0,285858
1,430000	0,680030	0,270083
1,440000	0,669514	0,259565
1,450000	0,653739	0,249048
1,460000	0,643223	0,233273
1,470000	0,622190	0,217497
1,480000	0,611674	0,201721
1,490000	0,595900	0,185946
1,500000	0,580125	0,170170
1,510000	0,564351	0,154394
1,520000	0,548576	0,138619
1,530000	0,527543	0,128101
1,540000	0,511769	0,107067
1,550000	0,490736	0,091291
1,560000	0,469704	0,070257
1,570000	0,448671	0,054482
1,580000	0,432897	0,038706
1,590000	0,411864	0,017672
1,600000	0,390831	0,001896
1,610000	0,369799	-0,019138
1,620000	0,343508	-0,040173
1,630000	0,322475	-0,061207
1,640000	0,296184	-0,076983
1,650000	0,280410	-0,103275
1,660000	0,254119	-0,124310
1,670000	0,233086	-0,145344
1,680000	0,212054	-0,161120
1,690000	0,185763	-0,182154
1,700000	0,164730	-0,203188
1,710000	0,138439	-0,224222
1,720000	0,117407	-0,245257
1,730000	0,096374	-0,266291
1,740000	0,070083	-0,287325
1,750000	0,043793	-0,303101
1,760000	0,028018	-0,324135
1,770000	0,006985	-0,334652
1,780000	-0,024564	-0,355686
1,790000	-0,045596	-0,371462
1,800000	-0,066629	-0,387238
1,810000	-0,087661	-0,408272
1,820000	-0,108694	-0,418789
1,830000	-0,129727	-0,434565
1,840000	-0,150759	-0,450340
1,850000	-0,166534	-0,471375
1,860000	-0,192825	-0,487150
1,870000	-0,208599	-0,502926
1,880000	-0,229632	-0,513443
1,890000	-0,245406	-0,529219
1,900000	-0,266439	-0,539736
1,910000	-0,282213	-0,555512
1,920000	-0,297988	-0,576546
1,930000	-0,319021	-0,587063
1,940000	-0,334795	-0,602839
1,950000	-0,350570	-0,608097
1,960000	-0,366344	-0,623873
1,970000	-0,382119	-0,634390
1,980000	-0,397893	-0,644907
1,990000	-0,408409	-0,655424
2,000000	-0,424184	-0,665942
2,010000	-0,434700	-0,681717
2,020000	-0,445216	-0,681717
2,030000	-0,460991	-0,686976
2,040000	-0,466249	-0,692234
2,050000	-0,476765	-0,697493
2,060000	-0,487282	-0,702751
2,070000	-0,497798	-0,708010
2,080000	-0,503056	-0,718527
2,090000	-0,508314	-0,723786
2,100000	-0,518831	-0,723786
2,110000	-0,524089	-0,729044
2,120000	-0,524089	-0,734303
2,130000	-0,529347	-0,734303
2,140000	-0,534605	-0,734303
2,150000	-0,534605	-0,734303
2,160000	-0,534605	-0,734303
2,170000	-0,539863	-0,729044
2,180000	-0,534605	-0,729044
2,190000	-0,534605	-0,729044
2,200000	-0,534605	-0,723786
2,210000	-0,529347	-0,718527
2,220000	-0,529347	-0,718527
2,230000	-0,524089	-0,708010
2,240000	-0,518831	-0,702751
2,250000	-0,513573	-0,697493
2,260000	-0,508314	-0,697493
2,270000	-0,497798	-0,686976
2,280000	-0,487282	-0,676459
2,290000	-0,482024	-0,671200
2,300000	-0,471507	-0,665942
2,310000	-0,460991	-0,655424
2,320000	-0,450475	-0,639649
2,330000	-0,445216	-0,634390
2,340000	-0,429442	-0,618614
2,350000	-0,418926	-0,608097
2,360000	-0,403151	-0,597580
2,370000	-0,387377	-0,587063
2,380000	-0,376860	-0,566029
2,390000	-0,361086	-0,555512
2,400000	-0,345311	-0,539736
2,410000	-0,334795	-0,523960
2,420000	-0,313762	-0,508185
2,430000	-0,297988	-0,492409
2,440000	-0,276955	-0,471375
2,450000	-0,261181	-0,460858
2,460000	-0,245406	-0,445082
2,470000	-0,224374	-0,424048
2,480000	-0,203341	-0,408272
2,490000	-0,187567	-0,387238
2,500000	-0,166534	-0,371462
2,510000	-0,140243	-0,350428
2,520000	-0,124469	-0,329394
2,530000	-0,103436	-0,313618
2,540000	-0,077145	-0,292584
2,550000	-0,056113	-0,271549
2,560000	-0,029822	-0,250515
2,570000	-0,014047	-0,239998
2,580000	0,012244	-0,213705
2,590000	0,033276	-0,192671
2,600000	0,059567	-0,176895
2,610000	0,080600	-0,155861
2,620000	0,106890	-0,134827
2,630000	0,127923	-0,113792
2,640000	0,148956	-0,098017
2,650000	0,169988	-0,076983
2,660000	0,196279	-0,061207
2,670000	0,217312	-0,040173
2,680000	0,238345	-0,024397
2,690000	0,264635	0,001896
2,700000	0,285668	0,017672
2,710000	0,306701	0,033447
2,720000	0,332991	0,049223
2,730000	0,354024	0,070257
2,740000	0,375057	0,086033
2,750000	0,396089	0,101809
2,760000	0,417122	0,122843
2,770000	0,438155	0,133360
2,780000	0,459187	0,154394
2,790000	0,474962	0,164911
2,800000	0,495994	0,180687
2,810000	0,517027	0,196463
2,820000	0,532802	0,212238
2,830000	0,553834	0,228014
2,840000	0,569609	0,238531
2,850000	0,585383	0,254307
2,860000	0,601158	0,264824
2,870000	0,622190	0,275341
2,880000	0,637965	0,291117
2,890000	0,648481	0,301634
2,900000	0,658997	0,312151
2,910000	0,674772	0,322668
2,920000	0,690546	0,333185
2,930000	0,701063	0,338444
2,940000	0,711579	0,348961
2,950000	0,722095	0,354220
2,960000	0,732612	0,364737
2,970000	0,737870	0,369995
2,980000	0,748386	0,380512
2,990000	0,758903	0,380512
3,000000	0,764161	0,391030
3,010000	0,769419	0,391030
3,020000	0,774677	0,396288
3,030000	0,779935	0,396288
3,040000	0,785193	0,401547
3,050000	0,790451	0,401547
3,060000	0,790451	0,401547
3,070000	0,790451	0,401547
3,080000	0,790451	0,401547
3,090000	0,795710	0,401547
3,100000	0,790451	0,396288
3,110000	0,795710	0,391030
3,120000	0,785193	0,391030
3,130000	0,785193	0,385771
3,140000	0,785193	0,385771
3,150000	0,774677	0,375254
3,160000	0,774677	0,369995
3,170000	0,764161	0,364737
3,180000	0,753644	0,354220
3,190000	0,743128	0,343702
3,200000	0,737870	0,333185
3,210000	0,727354	0,327927
3,220000	0,716837	0,312151
3,230000	0,706321	0,306893
3,240000	0,690546	0,291117
3,250000	0,680030	0,275341
3,260000	0,664256	0,264824
3,270000	0,653739	0,254307
3,280000	0,637965	0,238531
3,290000	0,627448	0,222756
3,300000	0,611674	0,212238
3,310000	0,595900	0,196463
3,320000	0,580125	0,180687
3,330000	0,559092	0,164911
3,340000	0,543318	0,154394
3,350000	0,522285	0,138619
3,360000	0,506511	0,117584
3,370000	0,490736	0,107067
3,380000	0,469704	0,086033
3,390000	0,448671	0,064999
3,400000	0,427638	0,054482
3,410000	0,406606	0,033447
3,420000	0,385573	0,012413
3,430000	0,364540	-0,008621
3,440000	0,343508	-0,024397
3,450000	0,322475	-0,040173
3,460000	0,301442	-0,055948
3,470000	0,275152	-0,076983
3,480000	0,254119	-0,098017
3,490000	0,233086	-0,113792
3,500000	0,212054	-0,134827
3,510000	0,185763	-0,155861
3,520000	0,164730	-0,171637
3,530000	0,138439	-0,192671
3,540000	0,117407	-0,213705
3,550000	0,091116	-0,234739
3,560000	0,075342	-0,250515
3,570000	0,049051	-0,271549
3,580000	0,028018	-0,292584
3,590000	0,001727	-0,308359
3,600000	-0,024564	-0,329394
3,610000	-0,045596	-0,350428
3,620000	-0,066629	-0,371462
3,630000	-0,087661	-0,387238
3,640000	-0,113952	-0,408272
3,650000	-0,134985	-0,424048
3,660000	-0,150759	-0,439823
3,670000	-0,177050	-0,455599
3,680000	-0,192825	-0,471375
3,690000	-0,213857	-0,487150
3,700000	-0,234890	-0,502926
3,710000	-0,250664	-0,518702
3,720000	-0,271697	-0,534477
3,730000	-0,287472	-0,550253
3,740000	-0,308504	-0,560770
3,750000	-0,324279	-0,576546
3,760000	-0,340053	-0,587063
3,770000	-0,355828	-0,597580
3,780000	-0,371602	-0,608097
3,790000	-0,387377	-0,618614
3,800000	-0,397893	-0,629132
3,810000	-0,413668	-0,639649
3,820000	-0,424184	-0,650166
3,830000	-0,439958	-0,655424
3,840000	-0,450475	-0,665942
3,850000	-0,466249	-0,671200
3,860000	-0,471507	-0,681717
3,870000	-0,482024	-0,686976
3,880000	-0,487282	-0,692234
3,890000	-0,497798	-0,702751
3,900000	-0,508314	-0,708010
3,910000	-0,513573	-0,708010
3,920000	-0,524089	-0,718527
3,930000	-0,529347	-0,718527
3,940000	-0,534605	-0,718527
3,950000	-0,534605	-0,723786
3,960000	-0,534605	-0,723786
3,970000	-0,539863	-0,723786
3,980000	-0,545122	-0,723786
3,990000	-0,539863	-0,723786
4,000000	-0,545122	-0,718527
4,010000	-0,545122	-0,718527
4,020000	-0,539863	-0,718527
4,030000	-0,534605	-0,713269
4,040000	-0,534605	-0,713269
4,050000	-0,529347	-0,708010
4,060000	-0,518831	-0,708010
4,070000	-0,518831	-0,697493
4,080000	-0,513573	-0,692234
4,090000	-0,503056	-0,686976
4,100000	-0,492540	-0,676459
4,110000	-0,487282	-0,671200
4,120000	-0,476765	-0,660683
4,130000	-0,466249	-0,655424
4,140000	-0,455733	-0,644907
4,150000	-0,445216	-0,634390
4,160000	-0,429442	-0,618614
4,170000	-0,413668	-0,608097
4,180000	-0,403151	-0,597580
4,190000	-0,387377	-0,587063
4,200000	-0,371602	-0,571287
4,210000	-0,361086	-0,560770
4,220000	-0,345311	-0,544995
4,230000	-0,324279	-0,529219
4,240000	-0,308504	-0,518702
4,250000	-0,287472	-0,502926
4,260000	-0,271697	-0,492409
4,270000	-0,250664	-0,471375
4,280000	-0,234890	-0,455599
4,290000	-0,219116	-0,434565
4,300000	-0,198083	-0,418789
4,310000	-0,177050	-0,397755
4,320000	-0,156018	-0,381979
4,330000	-0,134985	-0,360945
4,340000	-0,108694	-0,345169
4,350000	-0,092920	-0,324135
4,360000	-0,066629	-0,303101
4,370000	-0,050854	-0,287325
4,380000	-0,024564	-0,266291
4,390000	0,001727	-0,250515
4,400000	0,022760	-0,229481
4,410000	0,043793	-0,208447
4,420000	0,064825	-0,192671
4,430000	0,091116	-0,171637
4,440000	0,112149	-0,150602
4,450000	0,138439	-0,134827
4,460000	0,159472	-0,119051
4,470000	0,180505	-0,103275
4,480000	0,201537	-0,082241
4,490000	0,227828	-0,061207
4,500000	0,248861	-0,045431
4,510000	0,269894	-0,029655
4,520000	0,290926	-0,008621
4,530000	0,317217	0,012413
4,540000	0,338250	0,033447
4,550000	0,359282	0,049223
4,560000	0,375057	0,064999
4,570000	0,401348	0,080774
4,580000	0,417122	0,101809
4,590000	0,443413	0,117584
4,600000	0,464445	0,133360
4,610000	0,480220	0,149136
4,620000	0,495994	0,170170
4,630000	0,517027	0,185946
4,640000	0,532802	0,196463
4,650000	0,553834	0,212238
4,660000	0,569609	0,228014
4,670000	0,585383	0,243790
4,680000	0,601158	0,254307
4,690000	0,616932	0,264824
4,700000	0,632707	0,280600
4,710000	0,648481	0,285858
4,720000	0,658997	0,301634
4,730000	0,674772	0,312151
4,740000	0,685288	0,322668
4,750000	0,701063	0,333185
4,760000	0,711579	0,338444
4,770000	0,722095	0,348961
4,780000	0,732612	0,354220
4,790000	0,743128	0,359478
4,800000	0,753644	0,369995
4,810000	0,753644	0,375254
4,820000	0,764161	0,380512
4,830000	0,769419	0,385771
4,840000	0,779935	0,391030
4,850000	0,779935	0,396288
4,860000	0,785193	0,396288
4,870000	0,790451	0,396288
4,880000	0,790451	0,401547
4,890000	0,795710	0,401547
4,900000	0,795710	0,401547
4,910000	0,795710	0,406805
4,920000	0,790451	0,406805
4,930000	0,790451	0,401547
4,940000	0,790451	0,401547
4,950000	0,779935	0,396288
4,960000	0,774677	0,391030
4,970000	0,774677	0,391030
4,980000	0,764161	0,380512
4,990000	0,758903	0,375254
5,000000	0,753644	0,369995
5,010000	0,743128	0,359478
5,020000	0,732612	0,354220
5,030000	0,722095	0,343702
5,040000	0,716837	0,333185
5,050000	0,701063	0,327927
5,060000	0,685288	0,317410
5,070000	0,674772	0,301634
5,080000	0,664256	0,291117
5,090000	0,648481	0,280600
5,100000	0,632707	0,270083
5,110000	0,622190	0,254307
5,120000	0,606416	0,238531
5,130000	0,590641	0,222756
5,140000	0,574867	0,212238
5,150000	0,553834	0,196463
5,160000	0,538060	0,180687
5,170000	0,517027	0,159653
5,180000	0,501253	0,149136
5,190000	0,480220	0,133360
5,200000	0,464445	0,112326
5,210000	0,443413	0,101809
5,220000	0,427638	0,080774
5,230000	0,401348	0,064999
5,240000	0,380315	0,043964
5,250000	0,359282	0,022930
5,260000	0,338250	0,001896
5,270000	0,317217	-0,024397
5,280000	0,290926	-0,040173
5,290000	0,275152	-0,061207
5,300000	0,248861	-0,082241
5,310000	0,222570	-0,103275
5,320000	0,201537	-0,119051
5,330000	0,180505	-0,140085
5,340000	0,154214	-0,161120
5,350000	0,133181	-0,182154
5,360000	0,112149	-0,197929
5,370000	0,091116	-0,218964
5,380000	0,064825	-0,239998
5,390000	0,043793	-0,255774
5,400000	0,017502	-0,276808
5,410000	-0,008789	-0,297842
5,420000	-0,029822	-0,313618
5,430000	-0,050854	-0,329394
5,440000	-0,071887	-0,350428
5,450000	-0,098178	-0,360945
5,460000	-0,119210	-0,381979
5,470000	-0,134985	-0,397755
5,480000	-0,161276	-0,413531
5,490000	-0,177050	-0,429306
5,500000	-0,198083	-0,445082
5,510000	-0,219116	-0,460858
5,520000	-0,234890	-0,471375
5,530000	-0,255923	-0,487150
5,540000	-0,276955	-0,502926
5,550000	-0,292730	-0,513443
5,560000	-0,308504	-0,529219
