t (s)	U1(V)	U2(V)
0,000000	0,979745	0,422581
0,010000	0,995520	0,433098
0,020000	1,011294	0,443615
0,030000	1,021811	0,459391
0,040000	1,032327	0,469908
0,050000	1,048101	0,480425
0,060000	1,058618	0,496201
0,070000	1,069134	0,501459
0,080000	1,079650	0,506718
0,090000	1,090167	0,511976
0,100000	1,095425	0,522494
0,110000	1,095425	0,522494
0,120000	1,105941	0,527752
0,130000	1,111199	0,533011
0,140000	1,111199	0,533011
0,150000	1,116458	0,533011
0,160000	1,116458	0,533011
0,170000	1,116458	0,527752
0,180000	1,111199	0,522494
0,190000	1,111199	0,522494
0,200000	1,105941	0,517235
0,210000	1,100683	0,506718
0,220000	1,095425	0,506718
0,230000	1,090167	0,496201
0,240000	1,079650	0,485684
0,250000	1,074392	0,475167
0,260000	1,058618	0,464649
0,270000	1,053360	0,454132
0,280000	1,042843	0,438357
0,290000	1,032327	0,427839
0,300000	1,016552	0,412064
0,310000	1,006036	0,401547
0,320000	0,990262	0,385771
0,330000	0,974487	0,364737
0,340000	0,958713	0,348961
0,350000	0,937680	0,327927
0,360000	0,921906	0,312151
0,370000	0,900873	0,291117
0,380000	0,879840	0,275341
0,390000	0,858808	0,254307
0,400000	0,837775	0,228014
0,410000	0,816742	0,206980
0,420000	0,790451	0,180687
0,430000	0,764161	0,159653
0,440000	0,737870	0,128101
0,450000	0,716837	0,107067
0,460000	0,690546	0,080774
0,470000	0,664256	0,054482
0,480000	0,637965	0,028189
0,490000	0,611674	-0,003363
0,500000	0,590641	-0,029655
0,510000	0,559092	-0,061207
0,520000	0,527543	-0,087500
0,530000	0,501253	-0,113792
0,540000	0,474962	-0,145344
0,550000	0,443413	-0,171637
0,560000	0,411864	-0,203188
0,570000	0,380315	-0,224222
0,580000	0,354024	-0,261032
0,590000	0,317217	-0,282066
0,600000	0,290926	-0,318876
0,610000	0,264635	-0,345169
0,620000	0,233086	-0,371462
0,630000	0,201537	-0,403013
0,640000	0,175247	-0,434565
0,650000	0,143698	-0,455599
0,660000	0,112149	-0,487150
0,670000	0,080600	-0,513443
0,680000	0,049051	-0,544995
0,690000	0,022760	-0,571287
0,700000	-0,008789	-0,597580
0,710000	-0,040338	-0,629132
0,720000	-0,066629	-0,655424
0,730000	-0,098178	-0,681717
0,740000	-0,124469	-0,708010
0,750000	-0,150759	-0,734303
