t (s)	U1(V)	U2(V)
0,000000	0,091116	-0,439823
0,010000	0,117407	-0,408272
0,020000	0,154214	-0,376721
0,030000	0,180505	-0,350428
0,040000	0,206796	-0,324135
0,050000	0,238345	-0,292584
0,060000	0,269894	-0,266291
0,070000	0,296184	-0,239998
0,080000	0,327733	-0,208447
0,090000	0,359282	-0,176895
0,100000	0,385573	-0,150602
0,110000	0,417122	-0,119051
0,120000	0,443413	-0,092758
0,130000	0,474962	-0,061207
0,140000	0,501253	-0,029655
0,150000	0,527543	-0,008621
0,160000	0,553834	0,022930
0,170000	0,580125	0,049223
0,180000	0,606416	0,080774
0,190000	0,627448	0,107067
0,200000	0,653739	0,128101
0,210000	0,685288	0,154394
0,220000	0,706321	0,180687
0,230000	0,732612	0,201721
0,240000	0,753644	0,222756
0,250000	0,774677	0,249048
0,260000	0,800968	0,264824
0,270000	0,816742	0,291117
0,280000	0,837775	0,306893
0,290000	0,858808	0,327927
0,300000	0,874582	0,348961
0,310000	0,895615	0,364737
0,320000	0,911389	0,380512
0,330000	0,932422	0,396288
0,340000	0,948196	0,417322
0,350000	0,958713	0,427839
0,360000	0,974487	0,443615
0,370000	0,985003	0,459391
0,380000	1,000778	0,469908
0,390000	1,006036	0,485684
0,400000	1,016552	0,490942
0,410000	1,027069	0,501459
0,420000	1,032327	0,511976
0,430000	1,037585	0,522494
0,440000	1,042843	0,533011
0,450000	1,048101	0,533011
0,460000	1,053360	0,538269
0,470000	1,058618	0,543528
0,480000	1,058618	0,548786
0,490000	1,063876	0,554045
0,500000	1,063876	0,554045
0,510000	1,058618	0,554045
0,520000	1,058618	0,554045
0,530000	1,058618	0,548786
0,540000	1,053360	0,548786
0,550000	1,048101	0,538269
0,560000	1,048101	0,533011
0,570000	1,037585	0,527752
0,580000	1,027069	0,522494
0,590000	1,021811	0,511976
0,600000	1,011294	0,501459
0,610000	1,000778	0,490942
0,620000	0,990262	0,480425
0,630000	0,979745	0,464649
0,640000	0,963971	0,454132
0,650000	0,948196	0,438357
0,660000	0,937680	0,422581
0,670000	0,921906	0,401547
0,680000	0,900873	0,385771
0,690000	0,885098	0,364737
0,700000	0,864066	0,343702
0,710000	0,843033	0,322668
0,720000	0,822000	0,301634
0,730000	0,806226	0,280600
0,740000	0,779935	0,259565
0,750000	0,764161	0,238531
0,760000	0,737870	0,217497
0,770000	0,711579	0,191204
0,780000	0,685288	0,164911
0,790000	0,664256	0,138619
0,800000	0,637965	0,112326
